Number,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,ProductId,State,Market,Market Size,Product Type,Product,Type
2241,248,245,506,207,90,64,965,2,Texas,South,Major Market,Coffee,Decaf Irish Cream,Decaf
2242,106,107,213,83,41,27,623,3,Nevada,West,Small Market,Espresso,Caffe Latte,Regular
2243,83,108,201,72,58,23,558,4,California,West,Major Market,Espresso,Caffe Mocha,Regular
2244,148,130,245,89,37,24,777,5,Illinois,Central,Major Market,Espresso,Decaf Espresso,Decaf
2245,84,80,150,54,27,15,456,6,Iowa,Central,Small Market,Espresso,Regular Espresso,Regular
2246,33,55,104,38,36,12,241,8,Texas,South,Major Market,Herbal Tea,Chamomile,Decaf
2247,39,72,134,48,49,15,372,9,California,West,Major Market,Herbal Tea,Lemon,Decaf
2248,-62,11,111,88,54,27,525,10,Wisconsin,Central,Small Market,Herbal Tea,Mint,Decaf
2249,-16,53,101,37,66,34,261,11,New York,East,Major Market,Tea,Darjeeling,Regular
2250,14,47,92,35,40,11,196,12,New York,East,Major Market,Tea,Earl Grey,Regular
2251,-14,36,73,29,47,11,169,13,Colorado,Central,Major Market,Tea,Green Tea,Regular
2252,73,73,138,50,27,14,821,6,Colorado,Central,Major Market,Coffee,Amaretto,Regular
2253,73,92,190,78,47,24,965,1,Florida,East,Major Market,Coffee,Columbian,Regular
2254,47,75,145,55,47,18,312,2,Ohio,Central,Major Market,Coffee,Decaf Irish Cream,Decaf
2255,61,105,213,85,69,32,494,3,Florida,East,Major Market,Espresso,Caffe Latte,Regular
2256,69,68,128,46,25,12,777,4,California,West,Major Market,Espresso,Caffe Mocha,Regular
2257,53,63,125,49,30,16,623,5,Florida,East,Major Market,Espresso,Decaf Espresso,Decaf
2258,159,139,262,95,39,26,821,8,Illinois,Central,Major Market,Espresso,Regular Espresso,Regular
2259,249,245,506,207,89,64,965,9,Massachusetts,East,Major Market,Herbal Tea,Chamomile,Decaf
2260,104,107,213,83,42,27,623,10,Nevada,West,Small Market,Herbal Tea,Lemon,Decaf
2261,146,130,245,89,38,24,777,11,Massachusetts,East,Major Market,Herbal Tea,Mint,Decaf
2262,84,80,150,54,27,15,456,12,Florida,East,Major Market,Tea,Darjeeling,Regular
2263,84,108,201,72,57,23,558,13,Utah,West,Small Market,Tea,Earl Grey,Regular
2264,316,312,611,234,114,77,1310,6,California,West,Major Market,Tea,Green Tea,Regular
2265,-3,50,162,95,55,30,608,1,Texas,South,Major Market,Coffee,Amaretto,Regular
2266,408,407,759,271,152,94,2101,2,Florida,East,Major Market,Coffee,Columbian,Regular
2267,-182,-26,132,144,96,47,862,3,Illinois,Central,Major Market,Coffee,Decaf Irish Cream,Decaf
2268,218,228,510,228,92,63,1459,4,Missouri,Central,Small Market,Espresso,Caffe Latte,Regular
2269,26,145,280,105,134,95,725,5,Texas,South,Major Market,Espresso,Caffe Mocha,Regular
2270,25,145,280,105,135,95,725,8,California,West,Major Market,Espresso,Decaf Espresso,Decaf
2271,173,201,386,144,94,47,862,9,Texas,South,Major Market,Espresso,Regular Espresso,Regular
2272,134,139,262,95,56,30,608,10,California,West,Major Market,Herbal Tea,Chamomile,Decaf
2273,316,312,611,234,114,77,1310,11,Texas,South,Major Market,Herbal Tea,Lemon,Decaf
2274,220,228,510,228,91,63,1459,12,New York,East,Major Market,Herbal Tea,Mint,Decaf
2275,-552,-245,19,245,132,93,1419,13,Illinois,Central,Major Market,Tea,Darjeeling,Regular
2276,17,26,48,17,16,4,777,6,Florida,East,Major Market,Tea,Earl Grey,Regular
2277,-5,42,85,34,47,12,197,2,Massachusetts,East,Major Market,Tea,Green Tea,Regular
2278,6,34,69,28,32,8,965,3,California,West,Major Market,Coffee,Amaretto,Regular
2279,17,26,48,17,16,4,777,4,Connecticut,East,Small Market,Coffee,Columbian,Regular
2280,16,27,50,18,18,5,821,5,Florida,East,Major Market,Coffee,Decaf Irish Cream,Decaf
2281,51,54,101,36,22,10,777,8,Texas,South,Major Market,Espresso,Caffe Latte,Regular
2282,45,56,112,44,28,14,623,9,Washington,West,Small Market,Espresso,Caffe Mocha,Regular
2283,44,48,90,32,21,8,456,11,Texas,South,Major Market,Espresso,Decaf Espresso,Decaf
2284,106,126,235,84,61,27,651,12,Wisconsin,Central,Small Market,Espresso,Regular Espresso,Regular
2285,104,116,224,84,51,26,500,13,Texas,South,Major Market,Herbal Tea,Chamomile,Decaf
2286,154,171,382,170,76,47,1091,6,Colorado,Central,Major Market,Herbal Tea,Lemon,Decaf
2287,2,87,168,63,90,57,435,1,Florida,East,Major Market,Herbal Tea,Mint,Decaf
2288,44,93,179,67,68,22,400,2,Illinois,Central,Major Market,Tea,Darjeeling,Regular
2289,65,83,157,57,43,18,364,3,California,West,Major Market,Tea,Earl Grey,Regular
2290,25,72,145,58,59,22,338,4,Illinois,Central,Major Market,Tea,Green Tea,Regular
2291,51,80,157,60,49,19,336,5,Missouri,Central,Small Market,Espresso,Caffe Latte,Regular
2292,179,186,347,124,75,40,961,8,New York,East,Major Market,Espresso,Caffe Mocha,Decaf
2293,47,51,95,34,22,9,777,9,Louisiana,South,Small Market,Herbal Tea,Decaf Espresso,Regular
2294,109,113,201,67,45,20,400,11,Iowa,Central,Small Market,Herbal Tea,Regular Espresso,Decaf
2295,75,89,168,61,43,19,390,12,Florida,East,Major Market,Herbal Tea,Chamomile,Decaf
2296,12,105,201,75,102,68,522,13,California,West,Major Market,Tea,Lemon,Decaf
2297,55,62,123,48,28,15,623,4,Texas,South,Major Market,Tea,Mint,Regular
2298,20,66,134,54,56,20,312,5,Ohio,Central,Major Market,Tea,Darjeeling,Regular
2299,61,81,168,69,44,21,965,6,Louisiana,South,Small Market,Coffee,Earl Grey,Regular
2300,59,77,145,53,41,16,338,2,Massachusetts,East,Major Market,Coffee,Green Tea,Regular
2301,14,111,213,79,107,72,551,3,New York,East,Major Market,Coffee,Amaretto,Regular
2302,147,170,362,170,71,47,1073,8,Massachusetts,East,Major Market,Espresso,Columbian,Decaf
2303,-4,75,137,54,78,49,427,9,Florida,East,Major Market,Espresso,Decaf Irish Cream,Regular
2304,49,80,149,60,47,19,329,10,Washington,West,Small Market,Espresso,Caffe Latte,Regular
2305,27,73,141,59,55,22,331,11,Texas,South,Major Market,Espresso,Caffe Mocha,Decaf
2306,50,74,145,62,40,19,958,12,Florida,East,Major Market,Herbal Tea,Decaf Espresso,Regular
2307,45,56,107,44,26,14,618,13,Oklahoma,South,Small Market,Herbal Tea,Regular Espresso,Decaf
2308,119,112,201,77,32,21,449,5,Florida,East,Major Market,Herbal Tea,Chamomile,Decaf
2309,88,114,201,75,55,24,549,6,California,West,Major Market,Tea,Lemon,Decaf
2310,156,144,259,99,39,27,766,1,Texas,South,Major Market,Tea,Mint,Regular
2311,101,107,202,83,39,27,613,2,Massachusetts,East,Major Market,Tea,Darjeeling,Regular
2312,147,137,247,95,38,26,809,3,Wisconsin,Central,Small Market,Coffee,Amaretto,Regular
2313,156,144,259,99,39,27,766,8,California,West,Major Market,Coffee,Columbian,Regular
2314,101,107,202,83,39,27,613,9,Missouri,Central,Small Market,Coffee,Decaf Irish Cream,Decaf
2315,147,137,247,95,38,26,809,10,Ohio,Central,Major Market,Espresso,Caffe Latte,Regular
2316,117,112,201,77,33,21,449,11,Washington,West,Small Market,Espresso,Caffe Mocha,Decaf
2317,88,114,201,75,55,24,549,12,Texas,South,Major Market,Espresso,Decaf Espresso,Decaf
2318,298,311,581,234,110,77,1282,5,Texas,South,Major Market,Espresso,Regular Espresso,Decaf
2319,211,229,487,228,87,63,1436,6,Utah,West,Small Market,Herbal Tea,Chamomile,Regular
2320,171,206,377,148,91,48,844,2,Ohio,Central,Major Market,Herbal Tea,Lemon,Regular
2321,141,150,271,104,55,33,596,3,Texas,South,Major Market,Herbal Tea,Mint,Regular
2322,298,311,581,234,110,77,1282,8,Connecticut,East,Small Market,Tea,Darjeeling,Regular
2323,141,150,271,104,55,33,596,9,Oregon,West,Small Market,Tea,Earl Grey,Regular
2324,209,229,487,228,88,63,1436,11,Louisiana,South,Small Market,Tea,Green Tea,Decaf
2325,251,294,569,240,125,91,1391,12,New Mexico,South,Small Market,Coffee,Amaretto,Regular
2326,16,28,50,19,17,5,774,5,Massachusetts,East,Major Market,Coffee,Columbian,Regular
2327,47,43,46,0,11,0,774,6,Washington,West,Small Market,Coffee,Decaf Irish Cream,Decaf
2328,15,27,48,18,17,5,818,1,California,West,Major Market,Espresso,Caffe Latte,Regular
2329,9,35,67,28,29,8,961,2,Texas,South,Major Market,Espresso,Caffe Mocha,Decaf
2330,18,31,58,23,19,7,620,3,Ohio,Central,Major Market,Espresso,Decaf Espresso,Decaf
2331,-12,61,111,43,69,39,256,8,Iowa,Central,Small Market,Espresso,Regular Espresso,Decaf
2332,-47,18,109,84,50,26,625,9,New York,East,Major Market,Herbal Tea,Chamomile,Regular
2333,13,47,87,35,38,11,191,11,New York,East,Major Market,Herbal Tea,Lemon,Regular
2334,-10,38,72,30,45,11,165,12,California,West,Major Market,Herbal Tea,Mint,Regular
2335,-6,41,79,33,45,12,193,13,Oregon,West,Small Market,Tea,Darjeeling,Regular
2336,71,73,131,50,25,14,814,5,California,West,Major Market,Tea,Earl Grey,Decaf
2337,56,61,110,42,23,11,771,6,Florida,East,Major Market,Tea,Green Tea,Regular
2338,62,107,206,86,65,32,484,2,California,West,Major Market,Espresso,Caffe Latte,Decaf
2339,68,90,176,75,44,23,956,3,Iowa,Central,Small Market,Espresso,Caffe Mocha,Decaf
2340,25,34,60,22,17,6,452,8,Ohio,Central,Major Market,Herbal Tea,Decaf Espresso,Decaf
2341,42,48,85,32,20,8,817,9,Missouri,Central,Small Market,Coffee,Amaretto,Regular
2342,92,120,213,80,58,26,640,11,Oklahoma,South,Small Market,Coffee,Columbian,Regular
2343,105,120,220,86,49,26,490,12,New York,East,Major Market,Coffee,Decaf Irish Cream,Regular
2344,145,170,362,170,72,47,1073,5,New Hampshire,East,Small Market,Espresso,Caffe Latte,Regular
2345,27,73,141,59,55,22,331,6,New York,East,Major Market,Espresso,Caffe Mocha,Regular
2346,49,80,149,60,47,19,329,1,Wisconsin,Central,Small Market,Espresso,Decaf Espresso,Decaf
2347,56,76,136,52,38,16,357,2,Ohio,Central,Major Market,Espresso,Regular Espresso,Regular
2348,-4,75,137,54,78,49,427,3,Massachusetts,East,Major Market,Herbal Tea,Chamomile,Regular
2349,98,109,185,65,43,20,372,8,Illinois,Central,Major Market,Herbal Tea,Lemon,Decaf
2350,64,68,123,47,25,13,772,9,California,West,Major Market,Herbal Tea,Mint,Regular
2351,61,81,146,56,40,17,382,11,California,West,Major Market,Tea,Darjeeling,Decaf
2352,4,90,165,65,87,58,513,12,Illinois,Central,Major Market,Tea,Earl Grey,Decaf
2353,62,84,164,70,42,21,957,5,New York,East,Major Market,Tea,Green Tea,Decaf
2354,52,62,117,48,27,15,617,6,Missouri,Central,Small Market,Coffee,Amaretto,Regular
2355,18,65,126,53,53,20,306,1,Iowa,Central,Small Market,Coffee,Columbian,Regular
2356,22,128,234,92,113,83,541,2,New York,East,Major Market,Coffee,Decaf Irish Cream,Regular
2357,74,103,192,77,53,25,423,3,California,West,Major Market,Espresso,Caffe Latte,Regular
2358,61,107,206,86,66,32,484,9,Missouri,Central,Small Market,Espresso,Caffe Mocha,Regular
2359,68,90,176,75,44,23,956,10,California,West,Major Market,Espresso,Decaf Espresso,Decaf
2360,71,73,131,50,25,14,814,11,Texas,South,Major Market,Espresso,Regular Espresso,Regular
2361,31,39,70,27,18,7,772,13,Nevada,West,Small Market,Herbal Tea,Chamomile,Regular
2362,4,90,165,65,87,58,513,5,California,West,Major Market,Herbal Tea,Lemon,Regular
2363,43,75,139,55,46,18,305,6,Illinois,Central,Major Market,Herbal Tea,Mint,Regular
2364,180,195,346,130,74,42,945,2,Iowa,Central,Small Market,Tea,Darjeeling,Regular
2365,50,62,117,48,28,15,617,8,Texas,South,Major Market,Tea,Earl Grey,Decaf
2366,18,65,126,53,53,20,306,9,California,West,Major Market,Tea,Green Tea,Regular
2367,62,84,164,70,42,21,957,10,Wisconsin,Central,Small Market,Espresso,Caffe Latte,Regular
2368,42,48,85,32,20,8,817,11,New York,East,Major Market,Espresso,Caffe Mocha,Regular
2369,65,68,123,47,24,13,772,13,New York,East,Major Market,Herbal Tea,Decaf Espresso,Regular
2370,24,128,234,92,112,83,541,5,Colorado,Central,Major Market,Tea,Green Tea,Regular
2371,76,103,192,77,52,25,423,6,Colorado,Central,Major Market,Espresso,Caffe Latte,Decaf
2372,93,120,213,80,57,26,640,2,Florida,East,Major Market,Espresso,Caffe Mocha,Regular
2373,105,120,220,86,49,26,490,3,Ohio,Central,Major Market,Herbal Tea,Decaf Espresso,Regular
2374,27,73,141,59,55,22,331,9,Florida,East,Major Market,Coffee,Amaretto,Regular
2375,42,48,85,32,20,8,817,11,California,West,Major Market,Coffee,Columbian,Regular
2376,25,34,60,22,17,6,452,13,Florida,East,Major Market,Coffee,Decaf Irish Cream,Decaf
2377,-6,74,136,54,78,49,451,5,Illinois,Central,Major Market,Espresso,Caffe Latte,Regular
2378,147,170,362,170,71,47,1073,7,Massachusetts,East,Major Market,Espresso,Caffe Mocha,Regular
2379,505,395,501,75,55,24,235,2,Nevada,West,Small Market,Espresso,Decaf Espresso,Decaf
2380,-6,41,79,33,45,12,193,9,Massachusetts,East,Major Market,Espresso,Regular Espresso,Regular
2381,16,27,48,18,16,5,818,11,Florida,East,Major Market,Herbal Tea,Chamomile,Decaf
2382,47,43,46,0,11,0,774,13,Utah,West,Small Market,Herbal Tea,Lemon,Decaf
2383,-10,61,111,43,68,39,256,5,California,West,Major Market,Herbal Tea,Mint,Decaf
2384,-9,38,72,30,44,11,165,7,Texas,South,Major Market,Tea,Darjeeling,Regular
2385,37,60,108,41,35,13,236,1,Florida,East,Major Market,Tea,Earl Grey,Regular
2386,34,69,121,45,46,14,366,2,Illinois,Central,Major Market,Tea,Green Tea,Regular
2387,194,255,528,240,124,91,1454,9,Missouri,Central,Small Market,Coffee,Amaretto,Regular
2388,-178,-33,192,213,87,66,1214,10,Texas,South,Major Market,Coffee,Columbian,Regular
2389,148,137,247,95,37,26,809,11,California,West,Major Market,Coffee,Decaf Irish Cream,Decaf
2390,156,144,259,99,39,27,766,12,Texas,South,Major Market,Espresso,Caffe Latte,Regular
2391,117,112,201,77,33,21,449,13,California,West,Major Market,Espresso,Caffe Mocha,Regular
2392,-301,-60,65,121,143,110,901,5,Texas,South,Major Market,Espresso,Decaf Espresso,Decaf
2393,392,352,618,228,88,63,1402,7,New York,East,Major Market,Espresso,Regular Espresso,Regular
2394,364,387,687,258,142,90,2067,2,Illinois,Central,Major Market,Herbal Tea,Chamomile,Decaf
2395,52,63,119,49,28,16,617,8,Florida,East,Major Market,Herbal Tea,Lemon,Decaf
2396,62,107,206,86,65,32,484,9,Massachusetts,East,Major Market,Herbal Tea,Mint,Decaf
2397,50,56,100,38,22,10,772,2,California,West,Major Market,Tea,Darjeeling,Regular
2398,65,68,123,47,24,13,772,3,Connecticut,East,Small Market,Tea,Earl Grey,Regular
2399,3,90,165,65,88,58,342,4,Florida,East,Major Market,Tea,Green Tea,Regular
2400,96,109,185,65,44,20,372,5,Texas,South,Major Market,Coffee,Amaretto,Regular
2401,61,81,146,56,40,17,382,6,Florida,East,Major Market,Coffee,Columbian,Regular
2402,15,27,48,18,17,5,818,8,California,West,Major Market,Coffee,Decaf Irish Cream,Decaf
2403,7,35,67,28,30,8,961,9,New York,East,Major Market,Espresso,Caffe Latte,Regular
2404,36,69,121,45,45,14,366,2,Texas,South,Major Market,Espresso,Caffe Mocha,Regular
2405,-46,18,109,84,49,26,625,3,California,West,Major Market,Espresso,Decaf Espresso,Decaf
2406,-10,38,72,30,45,11,104,4,New York,East,Major Market,Espresso,Regular Espresso,Regular
2407,-10,61,111,43,68,39,256,5,Oklahoma,South,Small Market,Herbal Tea,Chamomile,Decaf
2408,12,47,87,35,39,11,191,6,Wisconsin,Central,Small Market,Herbal Tea,Lemon,Decaf
2409,16,65,126,53,54,20,306,8,California,West,Major Market,Herbal Tea,Mint,Decaf
2410,22,128,234,92,113,83,541,9,Texas,South,Major Market,Tea,Darjeeling,Regular
2411,43,56,107,44,27,14,618,2,Ohio,Central,Major Market,Tea,Earl Grey,Regular
2412,43,48,85,32,19,8,817,3,Texas,South,Major Market,Tea,Green Tea,Regular
2413,104,120,220,86,50,26,300,4,Florida,East,Major Market,Coffee,Amaretto,Regular
2414,25,34,60,22,17,6,452,5,California,West,Major Market,Coffee,Columbian,Regular
2415,93,120,213,80,57,26,640,6,California,West,Major Market,Coffee,Decaf Irish Cream,Decaf
2416,49,80,149,60,47,19,329,8,Florida,East,Major Market,Espresso,Caffe Latte,Regular
2417,56,76,136,52,38,16,357,9,Texas,South,Major Market,Espresso,Caffe Mocha,Regular
2418,243,252,496,213,88,66,942,2,Connecticut,East,Small Market,Espresso,Decaf Espresso,Decaf
2419,101,107,202,83,39,27,613,3,Colorado,Central,Major Market,Espresso,Regular Espresso,Regular
2420,86,114,201,75,56,24,378,4,Oregon,West,Small Market,Herbal Tea,Chamomile,Decaf
2421,157,144,259,99,38,27,766,5,Texas,South,Major Market,Herbal Tea,Lemon,Decaf
2422,119,112,201,77,32,21,449,6,Massachusetts,East,Major Market,Herbal Tea,Mint,Decaf
2423,36,60,108,41,36,13,236,8,Texas,South,Major Market,Tea,Darjeeling,Regular
2424,36,69,121,45,45,14,366,9,Louisiana,South,Small Market,Tea,Earl Grey,Regular
2425,-46,18,109,84,49,26,625,10,Missouri,Central,Small Market,Tea,Green Tea,Regular
2426,-10,61,111,43,68,39,256,11,Oklahoma,South,Small Market,Coffee,Amaretto,Regular
2427,13,47,87,35,38,11,191,12,New York,East,Major Market,Coffee,Columbian,Regular
2428,-9,38,72,30,44,11,165,13,New Hampshire,East,Small Market,Coffee,Decaf Irish Cream,Decaf
2429,71,73,131,50,25,14,814,6,New York,East,Major Market,Espresso,Caffe Latte,Regular
2430,68,90,176,75,44,23,956,1,Wisconsin,Central,Small Market,Espresso,Caffe Mocha,Regular
2431,45,75,139,55,45,18,305,2,Ohio,Central,Major Market,Espresso,Decaf Espresso,Decaf
2432,61,107,206,86,66,32,484,3,Massachusetts,East,Major Market,Espresso,Regular Espresso,Regular
2433,56,61,110,42,23,11,771,4,Illinois,Central,Major Market,Herbal Tea,Chamomile,Decaf
2434,52,63,119,49,28,16,617,5,California,West,Major Market,Herbal Tea,Lemon,Decaf
2435,148,137,247,95,37,26,809,8,California,West,Major Market,Herbal Tea,Mint,Decaf
2436,243,252,496,213,88,66,942,9,Illinois,Central,Major Market,Tea,Darjeeling,Regular
2437,101,107,202,83,39,27,613,10,New York,East,Major Market,Tea,Earl Grey,Regular
2438,157,144,259,99,38,27,766,11,Missouri,Central,Small Market,Tea,Green Tea,Regular
2439,119,112,201,77,32,21,449,12,Iowa,Central,Small Market,Coffee,Amaretto,Regular
2440,86,114,201,75,56,24,549,13,New York,East,Major Market,Coffee,Columbian,Regular
2441,300,311,581,234,109,77,1282,6,California,West,Major Market,Coffee,Decaf Irish Cream,Decaf
2442,-40,28,141,104,55,33,685,1,Missouri,Central,Small Market,Espresso,Caffe Latte,Regular
2443,364,387,687,258,142,90,2067,2,California,West,Major Market,Espresso,Caffe Mocha,Regular
2444,-174,-26,130,148,91,48,1071,3,Texas,South,Major Market,Espresso,Decaf Espresso,Decaf
2445,211,229,487,228,87,63,1436,4,Nevada,West,Small Market,Espresso,Regular Espresso,Regular
2446,39,169,309,121,143,110,712,5,California,West,Major Market,Herbal Tea,Chamomile,Decaf
2447,39,169,309,121,143,110,712,8,Illinois,Central,Major Market,Herbal Tea,Lemon,Decaf
2448,171,206,377,148,91,48,844,9,Iowa,Central,Small Market,Herbal Tea,Mint,Decaf
2449,140,150,271,104,56,33,596,10,Texas,South,Major Market,Tea,Darjeeling,Regular
2450,300,311,581,234,109,77,1282,11,California,West,Major Market,Tea,Earl Grey,Regular
2451,211,229,487,228,87,63,1436,12,Wisconsin,Central,Small Market,Tea,Green Tea,Regular
2452,-508,-240,25,240,125,91,1937,13,New York,East,Major Market,Coffee,Amaretto,Regular
2453,16,28,50,19,17,5,774,6,New York,East,Major Market,Coffee,Columbian,Regular
2454,-7,41,79,33,46,12,193,2,Colorado,Central,Major Market,Coffee,Decaf Irish Cream,Decaf
2455,9,35,67,28,29,8,961,3,Colorado,Central,Major Market,Espresso,Caffe Latte,Regular
2456,46,43,46,0,12,0,774,4,Florida,East,Major Market,Espresso,Caffe Mocha,Regular
2457,15,27,48,18,17,5,818,5,Ohio,Central,Major Market,Espresso,Decaf Espresso,Decaf
2458,42,48,86,33,20,9,772,8,Florida,East,Major Market,Espresso,Regular Espresso,Regular
2459,45,56,107,44,26,14,618,9,California,West,Major Market,Herbal Tea,Chamomile,Decaf
2460,25,34,60,22,17,6,452,11,Florida,East,Major Market,Herbal Tea,Lemon,Decaf
2461,92,120,213,80,58,26,640,12,Illinois,Central,Major Market,Herbal Tea,Mint,Decaf
2462,105,120,220,86,49,26,490,13,Massachusetts,East,Major Market,Tea,Darjeeling,Regular
2463,147,170,362,170,71,47,1073,6,Nevada,West,Small Market,Tea,Earl Grey,Regular
2464,-6,75,137,54,79,49,427,1,Massachusetts,East,Major Market,Tea,Green Tea,Regular
2465,37,90,165,65,65,21,392,2,Florida,East,Major Market,Coffee,Amaretto,Regular
2466,56,76,136,52,38,16,357,3,Utah,West,Small Market,Coffee,Columbian,Regular
2467,27,73,141,59,55,22,331,4,California,West,Major Market,Coffee,Decaf Irish Cream,Decaf
2468,49,80,149,60,47,19,329,5,Texas,South,Major Market,Espresso,Caffe Latte,Regular
2469,180,195,346,130,74,42,945,8,Florida,East,Major Market,Espresso,Caffe Mocha,Regular
2470,50,56,100,38,22,10,772,9,Illinois,Central,Major Market,Espresso,Decaf Espresso,Decaf
2471,98,109,185,65,43,20,372,11,Missouri,Central,Small Market,Espresso,Regular Espresso,Regular
2472,61,81,146,56,40,17,382,12,Texas,South,Major Market,Herbal Tea,Chamomile,Decaf
2473,4,90,165,65,87,58,513,13,California,West,Major Market,Herbal Tea,Lemon,Decaf
2474,52,62,117,48,27,15,617,4,Texas,South,Major Market,Herbal Tea,Mint,Decaf
2475,18,65,126,53,53,20,306,5,California,West,Major Market,Tea,Darjeeling,Regular
2476,61,84,164,70,43,21,957,6,Texas,South,Major Market,Tea,Earl Grey,Regular
2477,65,84,151,58,40,18,331,2,New York,East,Major Market,Tea,Green Tea,Regular
2478,22,128,234,92,113,83,541,3,Illinois,Central,Major Market,Coffee,Amaretto,Regular
2479,140,163,346,162,69,45,1059,8,Florida,East,Major Market,Coffee,Columbian,Regular
2480,-6,73,133,52,77,47,421,9,Massachusetts,East,Major Market,Coffee,Decaf Irish Cream,Decaf
2481,46,77,143,57,46,18,323,10,California,West,Major Market,Espresso,Caffe Latte,Regular
2482,24,71,137,58,55,22,325,11,Connecticut,East,Small Market,Espresso,Caffe Mocha,Regular
2483,47,73,144,62,41,19,952,12,Florida,East,Major Market,Espresso,Decaf Espresso,Decaf
2484,43,55,104,43,26,14,613,13,Texas,South,Major Market,Espresso,Regular Espresso,Regular
2485,125,117,211,81,33,22,441,5,Florida,East,Major Market,Herbal Tea,Chamomile,Decaf
2486,80,108,192,72,54,23,541,6,California,West,Major Market,Herbal Tea,Lemon,Decaf
2487,134,126,227,87,36,24,756,1,New York,East,Major Market,Herbal Tea,Mint,Decaf
2488,102,109,206,84,40,27,603,2,Texas,South,Major Market,Tea,Darjeeling,Regular
2489,150,139,249,95,38,26,799,3,California,West,Major Market,Tea,Earl Grey,Regular
2490,135,126,227,87,35,24,756,8,New York,East,Major Market,Tea,Green Tea,Regular
2491,104,109,206,84,39,27,603,9,Oklahoma,South,Small Market,Coffee,Amaretto,Regular
2492,151,139,249,95,37,26,799,10,Wisconsin,Central,Small Market,Coffee,Columbian,Regular
2493,125,117,211,81,33,22,441,11,California,West,Major Market,Coffee,Decaf Irish Cream,Decaf
2494,79,108,192,72,55,23,541,12,Texas,South,Major Market,Espresso,Caffe Latte,Regular
2495,313,324,604,243,113,80,1260,5,Ohio,Central,Major Market,Espresso,Caffe Mocha,Regular
2496,220,239,509,239,91,66,1417,6,Texas,South,Major Market,Espresso,Decaf Espresso,Decaf
2497,177,213,391,154,94,50,829,2,Florida,East,Major Market,Espresso,Regular Espresso,Regular
2498,151,158,285,109,56,34,585,3,California,West,Major Market,Herbal Tea,Chamomile,Decaf
2499,315,324,604,243,112,80,1260,8,California,West,Major Market,Herbal Tea,Lemon,Decaf
2500,151,158,285,109,56,34,585,9,Florida,East,Major Market,Herbal Tea,Mint,Decaf
2501,220,239,509,239,91,66,1417,11,Texas,South,Major Market,Tea,Darjeeling,Regular
2502,260,301,582,245,126,93,1369,12,Connecticut,East,Small Market,Tea,Earl Grey,Regular
2503,13,25,44,16,16,4,772,5,Colorado,Central,Major Market,Tea,Green Tea,Regular
2504,47,43,46,0,11,0,731,6,Oregon,West,Small Market,Coffee,Amaretto,Regular
2505,15,27,48,18,17,5,816,1,Texas,South,Major Market,Coffee,Columbian,Regular
2506,9,35,67,28,29,8,958,2,Massachusetts,East,Major Market,Coffee,Decaf Irish Cream,Decaf
2507,18,31,58,23,19,7,617,3,Texas,South,Major Market,Espresso,Caffe Latte,Regular
2508,-9,63,114,44,69,40,251,8,Louisiana,South,Small Market,Espresso,Caffe Mocha,Regular
2509,-47,18,113,88,50,27,715,9,California,West,Major Market,Espresso,Decaf Espresso,Decaf
2510,16,49,91,36,38,11,187,11,Florida,East,Major Market,Espresso,Regular Espresso,Regular
2511,-4,42,80,33,45,12,162,12,California,West,Major Market,Herbal Tea,Chamomile,Decaf
2512,-6,42,80,33,46,12,190,13,Iowa,Central,Small Market,Herbal Tea,Lemon,Decaf
2513,70,72,129,49,25,13,809,5,Ohio,Central,Major Market,Herbal Tea,Mint,Decaf
2514,67,70,126,48,25,13,766,6,Missouri,Central,Small Market,Tea,Darjeeling,Regular
2515,58,104,201,85,65,32,476,2,Oklahoma,South,Small Market,Tea,Earl Grey,Regular
2516,67,89,174,74,44,22,949,3,New York,East,Major Market,Tea,Green Tea,Regular
2517,22,32,56,21,17,5,449,8,New Hampshire,East,Small Market,Coffee,Amaretto,Regular
2518,42,47,84,32,19,8,813,9,New York,East,Major Market,Coffee,Columbian,Regular
2519,101,126,224,84,58,27,632,11,Wisconsin,Central,Small Market,Coffee,Decaf Irish Cream,Decaf
2520,110,125,228,89,51,27,481,12,Ohio,Central,Major Market,Espresso,Caffe Latte,Regular
2521,140,163,346,162,69,45,1059,5,Massachusetts,East,Major Market,Espresso,Caffe Mocha,Regular
2522,22,71,137,58,56,22,325,6,Illinois,Central,Major Market,Espresso,Decaf Espresso,Decaf
2523,47,77,143,57,45,18,323,1,California,West,Major Market,Espresso,Regular Espresso,Regular
2524,52,72,129,49,37,15,351,2,California,West,Major Market,Herbal Tea,Chamomile,Decaf
2525,-6,73,133,52,77,47,421,3,Illinois,Central,Major Market,Herbal Tea,Lemon,Decaf
2526,93,105,178,62,42,19,346,8,New York,East,Major Market,Herbal Tea,Mint,Decaf
2527,70,72,129,49,25,13,767,9,Missouri,Central,Small Market,Tea,Darjeeling,Regular
2528,56,77,137,52,39,16,376,11,Connecticut,East,Small Market,Tea,Earl Grey,Regular
2529,1,87,160,63,86,57,506,12,Washington,West,Small Market,Tea,Green Tea,Regular
2530,61,84,165,71,43,22,950,5,California,West,Major Market,Coffee,Amaretto,Regular
2531,50,63,119,49,29,16,611,6,Texas,South,Major Market,Coffee,Columbian,Regular
2532,19,66,128,54,53,20,301,1,New York,East,Major Market,Coffee,Decaf Irish Cream,Decaf
